Ticker,Company,Type,Flag
CVS,CVS Health Corporation,EQUITY D PENNIES TO 3.00,0
CVX,CHEVRON CORPORATION,EQUITY D PENNIES TO 3.00,0
CX,"CEMEX, S.A.B. DE C.V. ADS (REPTSG 1",EQUITY D PENNIES TO 3.00,0
DAL,"Delta Air Lines, Inc.",EQUITY D PENNIES TO 3.00,0
DCTH,"Delcath Systems, Inc.",EQUITY D PENNIES TO 3.00,0
DD,DU PONT DE NEMOURS E I &CO,EQUITY D PENNIES TO 3.00,0
DDD,3-D SYSTEMS CORP,EQUITY D PENNIES TO 3.00,0
DE,DEERE & CO,EQUITY D PENNIES TO 3.00,0
DHI,DR HORTON INC,EQUITY D PENNIES TO 3.00,0
DIA,SPDR Dow Jones Ind Av ETF Trust,EQUITY D PENNIES TO 3.00,0
DIS,WALT DISNEY CO-DISNEY COMMON,EQUITY D PENNIES TO 3.00,0
DO,DIAMOND OFFSHORE DRILLING INC,EQUITY D PENNIES TO 3.00,0
DOW,DOW CHEMICAL CO,EQUITY D PENNIES TO 3.00,0
DRYS,DRYSHIPS INC.,EQUITY D PENNIES TO 3.00,0
DVN,DEVON ENERGY CORP (NEW),EQUITY D PENNIES TO 3.00,0
DXJ,WISDOM JPN HEDGED EQ FUND,EQUITY D PENNIES TO 3.00,0
EA,ELECTRONIC ARTS INC,EQUITY D PENNIES TO 3.00,0
EBAY,EBAY INC,EQUITY D PENNIES TO 3.00,0
EEM,iShares MSCI Emerging Markets ETF,EQUITY D PENNIES TO 3.00,0
EFA,ISHARES TR MSCI EAFE INDEX FD,EQUITY D PENNIES TO 3.00,0
EMC,EMC CORP.,EQUITY D PENNIES TO 3.00,0
EOG,"EOG RESOURCES,INC",EQUITY D PENNIES TO 3.00,0
ESI,ITT EDUCATIONAL SERVICES INC,EQUITY D PENNIES TO 3.00,0
ESRX,EXPRESS SCRIPTS HOLDING CO,EQUITY D PENNIES TO 3.00,0
ETFC,E*TRADE FINANCIAL CORPORATION,EQUITY D PENNIES TO 3.00,0
EWJ,iShares MSCI Japan ETF,EQUITY D PENNIES TO 3.00,0
EWT,iShares MSCI Taiwan ETF,EQUITY D PENNIES TO 3.00,0
EWW,iShares MSCI Mexico Capped ETF,EQUITY D PENNIES TO 3.00,0
EWY,iShares MSCI South Korea Capped ETF,EQUITY D PENNIES TO 3.00,0
EWZ,iShares MSCI Brazil Capped ETF,EQUITY D PENNIES TO 3.00,0
F,FORD MOTOR CO(NEW),EQUITY D PENNIES TO 3.00,0
FAS,Direxionshares Financial Bull 3X Shares,EQUITY D PENNIES TO 3.00,0
FAZ,Direxionshares Financial Bear 3X Shares,EQUITY D PENNIES TO 3.00,0
FB,FACEBOOK INC,EQUITY D PENNIES TO 3.00,0
FCX,Freeport-McMoran Inc.,EQUITY D PENNIES TO 3.00,0
FDX,FEDEX CORPORATION,EQUITY D PENNIES TO 3.00,0
FEYE,FIREEYE INC,EQUITY D PENNIES TO 3.00,0
FFIV,F5 NETWORKS INC,EQUITY D PENNIES TO 3.00,0
FIS,FIDELITY NATIONAL INFORMATION SERVI,EQUITY D PENNIES TO 3.00,0
FITB,FIFTH THIRD BANCORP (OHIO),EQUITY D PENNIES TO 3.00,0
FLEX,FLEXTRONICS INTL LTD,EQUITY D PENNIES TO 3.00,0
FSLR,"First Solar, Inc.",EQUITY D PENNIES TO 3.00,0
FXE,Currency Shares Euro Trust,EQUITY D PENNIES TO 3.00,0
FXI,iShares China Large-Cap ETF,EQUITY D PENNIES TO 3.00,0
FXP,ProShares Ultra FTSE China 50,EQUITY D PENNIES TO 3.00,0
GDX,MARKET VECTORS TR GOLD MINERS INDEX,EQUITY D PENNIES TO 3.00,0
GE,GENERAL ELECTRIC CO,EQUITY D PENNIES TO 3.00,0
GFI,GOLD FIELDS LTD SPONS ADR,EQUITY D PENNIES TO 3.00,0
GG,GOLDCORP INC.,EQUITY D PENNIES TO 3.00,0
GGP,"General Growth Properties, Inc.",EQUITY D PENNIES TO 3.00,0
GILD,GILEAD SCIENCES INC,EQUITY D PENNIES TO 3.00,0
GIS,GENERAL MILLS INC,EQUITY D PENNIES TO 3.00,0
GLD,SPDR Gold Trust,EQUITY D PENNIES TO 3.00,0
GLW,CORNING INCORPORATED,EQUITY D PENNIES TO 3.00,0
GM,GENERAL MOTORS COMPANY,EQUITY D PENNIES TO 3.00,0
GMCR,"Keurig Green Mountain, Inc.",EQUITY D PENNIES TO 3.00,0
GME,GAMESTOP CORP (HLDG CO) CL A,EQUITY D PENNIES TO 3.00,0
GNW,GENWORTH FINANCIAL INC CL A,EQUITY D PENNIES TO 3.00,0
